,bid,items,quantity,Department&address,startdate/time
0,GEM/2019/B/229060,1,"Jharkhand
State Public Service Commission
Office Jharkhand Public Service Commission",07-05-2019 06:26 PM,15-05-2019 09:00 PM
1,GEM/2019/B/229751,1,"Haryana
Technical Education Department Haryana
Ch Devi Lal State Institute Of Engg And Tech N/a",08-05-2019 02:41 PM,15-05-2019 09:00 PM
2,GEM/2019/B/229310,15,"Ministry Of Defence
Militry Engineering Services
Ce Bareilly Zone Military Engineer Services",07-05-2019 06:22 PM,15-05-2019 09:00 PM
3,GEM/2019/B/230016,54,"Ministry Of Railways
Na
Secr N/a",08-05-2019 06:25 PM,15-05-2019 09:00 PM
4,GEM/2019/B/229329,31,"Ministry Of Defence
Militry Engineering Services
Ce Bareilly Zone Military Engineer Services",07-05-2019 06:52 PM,15-05-2019 09:00 PM
5,GEM/2019/RA/7898,3,"Ministry Of Defence
Department Of Defence Research & Development
Advanced Systems Laboratory Hyderabad Defence Research And Development Organisation (drdo)",01-05-2019 12:22 PM,15-05-2019 09:00 PM
6,GEM/2019/B/229333,40,"Ministry Of Defence
Militry Engineering Services
Ce Bareilly Zone Military Engineer Services",07-05-2019 06:59 PM,15-05-2019 09:00 PM
7,GEM/2019/B/229335,1500,"Ministry Of Home Affairs
Central Police Organisation
Hyderabad Sardar Vallabhbhai Patel National Police Academy",07-05-2019 06:59 PM,15-05-2019 09:00 PM
8,GEM/2019/B/230029,4,"Niti Aayog - National Institution For Transforming India
Na
India N/a",08-05-2019 06:25 PM,15-05-2019 09:00 PM
9,GEM/2019/B/230032,6,"Ministry Of Human Resource Development
Department Of Higher Education
South West Delhi Jawaharlal Nehru University (jnu)",08-05-2019 06:26 PM,15-05-2019 09:00 PM
